Corridor,Released_Loads,Cars_Enroute,Cars_Dwelling,Cars_Entering,snapshotdate,Date
USA/MEX,81,868,152,28,2018-07-29,2018-07-27
Vancouver,575,4470,288,668,2018-07-29,2018-07-27
Eastern Canada,82,375,46,23,2018-07-30,2018-07-28
Prince Rupert,291,1299,107,205,2018-07-30,2018-07-28
Thunder Bay,641,1697,272,152,2018-07-30,2018-07-28
USA/MEX,95,1121,117,318,2018-07-30,2018-07-28
Vancouver,926,4980,387,1118,2018-07-30,2018-07-28
Eastern Canada,132,354,38,44,2018-07-31,2018-07-29
Prince Rupert,487,1112,210,12,2018-07-31,2018-07-29
Thunder Bay,829,1842,147,560,2018-07-31,2018-07-29
USA/MEX,208,1140,107,123,2018-07-31,2018-07-29
Vancouver,1291,4839,506,269,2018-07-31,2018-07-29
Eastern Canada,125,300,65,1,2018-08-01,2018-07-30
Prince Rupert,362,1114,313,2,2018-08-01,2018-07-30
Thunder Bay,814,1802,144,220,2018-08-01,2018-07-30
USA/MEX,210,1113,112,33,2018-08-01,2018-07-30
Vancouver,1299,4677,445,259,2018-08-01,2018-07-30
Eastern Canada,119,276,56,11,2018-08-02,2018-07-31
Prince Rupert,248,1111,206,99,2018-08-02,2018-07-31
Thunder Bay,854,1744,100,212,2018-08-02,2018-07-31
USA/MEX,192,1075,95,58,2018-08-02,2018-07-31
Vancouver,1127,4521,881,389,2018-08-02,2018-07-31
Eastern Canada,126,230,46,0,2018-08-03,2018-08-01
Prince Rupert,227,1090,308,104,2018-08-03,2018-08-01
Thunder Bay,710,1689,91,115,2018-08-03,2018-08-01
USA/MEX,206,1082,126,91,2018-08-03,2018-08-01
Vancouver,1106,4931,513,855,2018-08-03,2018-08-01
Eastern Canada,75,298,79,78,2018-08-04,2018-08-02
Prince Rupert,221,1296,205,206,2018-08-04,2018-08-02
Thunder Bay,812,1570,71,224,2018-08-04,2018-08-02
USA/MEX,118,1098,199,25,2018-08-04,2018-08-02
Vancouver,1220,4838,418,447,2018-08-04,2018-08-02
Eastern Canada,10,298,58,0,2018-08-05,2018-08-03
Prince Rupert,175,1201,186,66,2018-08-05,2018-08-03
Thunder Bay,762,1556,102,0,2018-08-05,2018-08-03
USA/MEX,34,1092,131,4,2018-08-05,2018-08-03
Vancouver,1315,4660,477,429,2018-08-05,2018-08-03
Eastern Canada,46,262,36,0,2018-08-06,2018-08-04
Prince Rupert,388,1083,183,99,2018-08-06,2018-08-04
Thunder Bay,533,1488,103,99,2018-08-06,2018-08-04
USA/MEX,101,1034,146,0,2018-08-06,2018-08-04
Vancouver,1411,4437,286,414,2018-08-06,2018-08-04
Eastern Canada,67,393,15,132,2018-08-07,2018-08-05
Prince Rupert,360,1174,184,205,2018-08-07,2018-08-05
Thunder Bay,814,1131,187,4,2018-08-07,2018-08-05
USA/MEX,234,997,133,100,2018-08-07,2018-08-05
Vancouver,1325,4575,193,649,2018-08-07,2018-08-05
Eastern Canada,84,379,11,4,2018-08-08,2018-08-06
Prince Rupert,434,1363,55,291,2018-08-08,2018-08-06
Thunder Bay,888,929,137,103,2018-08-08,2018-08-06
USA/MEX,263,1029,126,145,2018-08-08,2018-08-06
Vancouver,1543,4545,298,816,2018-08-08,2018-08-06
Eastern Canada,63,369,12,12,2018-08-09,2018-08-07
Prince Rupert,436,1354,3,152,2018-08-09,2018-08-07
Thunder Bay,984,1157,139,540,2018-08-09,2018-08-07
USA/MEX,217,1013,73,45,2018-08-09,2018-08-07
Vancouver,1674,4812,180,961,2018-08-09,2018-08-07
Eastern Canada,66,384,7,54,2018-08-10,2018-08-08
Prince Rupert,517,1483,3,252,2018-08-10,2018-08-08
Thunder Bay,642,1309,140,326,2018-08-10,2018-08-08
USA/MEX,153,964,74,25,2018-08-10,2018-08-08
Vancouver,1699,4722,166,456,2018-08-10,2018-08-08
Eastern Canada,57,418,58,42,2018-08-11,2018-08-09
Prince Rupert,228,1619,105,139,2018-08-11,2018-08-09
Thunder Bay,673,1535,70,250,2018-08-11,2018-08-09
USA/MEX,119,930,138,0,2018-08-11,2018-08-09
Vancouver,1181,4557,277,210,2018-08-11,2018-08-09
Eastern Canada,27,398,64,0,2018-08-12,2018-08-10
Prince Rupert,322,1501,204,98,2018-08-12,2018-08-10
Thunder Bay,567,1481,61,16,2018-08-12,2018-08-10
USA/MEX,68,913,157,4,2018-08-12,2018-08-10
Vancouver,1200,3983,271,96,2018-08-12,2018-08-10
Eastern Canada,70,437,13,67,2018-08-13,2018-08-11
Prince Rupert,437,1415,106,83,2018-08-13,2018-08-11
Thunder Bay,355,1583,42,289,2018-08-13,2018-08-11
USA/MEX,109,952,186,81,2018-08-13,2018-08-11
Vancouver,1409,3989,320,604,2018-08-13,2018-08-11
Eastern Canada,129,394,8,15,2018-08-14,2018-08-12
Prince Rupert,655,1406,124,219,2018-08-14,2018-08-12
Thunder Bay,519,1414,25,29,2018-08-14,2018-08-12
USA/MEX,222,992,165,144,2018-08-14,2018-08-12
Vancouver,1216,4100,299,592,2018-08-14,2018-08-12
Eastern Canada,97,386,28,2,2018-08-15,2018-08-13
Prince Rupert,706,1399,107,251,2018-08-15,2018-08-13
Thunder Bay,623,1455,18,221,2018-08-15,2018-08-13
USA/MEX,297,891,164,31,2018-08-15,2018-08-13
Vancouver,1175,4311,327,653,2018-08-15,2018-08-13
Eastern Canada,85,459,10,97,2018-08-16,2018-08-14
Prince Rupert,617,1213,5,53,2018-08-16,2018-08-14
Thunder Bay,664,1372,16,238,2018-08-16,2018-08-14
USA/MEX,273,869,121,74,2018-08-16,2018-08-14
Vancouver,1129,4210,289,485,2018-08-16,2018-08-14
Eastern Canada,79,481,74,71,2018-08-17,2018-08-15
Prince Rupert,497,1315,12,158,2018-08-17,2018-08-15
Thunder Bay,779,1188,177,76,2018-08-17,2018-08-15
USA/MEX,282,780,194,41,2018-08-17,2018-08-15
Vancouver,1310,4521,231,856,2018-08-17,2018-08-15
Eastern Canada,64,495,85,25,2018-08-18,2018-08-16
Prince Rupert,258,1315,166,0,2018-08-18,2018-08-16
Thunder Bay,690,1206,112,114,2018-08-18,2018-08-16
USA/MEX,205,918,248,163,2018-08-18,2018-08-16
Vancouver,1150,4536,194,465,2018-08-18,2018-08-16
Eastern Canada,19,644,113,150,2018-08-19,2018-08-17
Prince Rupert,370,1045,59,0,2018-08-19,2018-08-17
Thunder Bay,769,1357,116,245,2018-08-19,2018-08-17
USA/MEX,140,904,219,1,2018-08-19,2018-08-17
Vancouver,1063,4233,213,214,2018-08-19,2018-08-17
Eastern Canada,70,700,124,107,2018-08-20,2018-08-18
Prince Rupert,641,1104,61,329,2018-08-20,2018-08-18
Thunder Bay,604,1734,124,544,2018-08-20,2018-08-18
USA/MEX,88,868,165,12,2018-08-20,2018-08-18
Vancouver,1286,4042,255,390,2018-08-20,2018-08-18
Eastern Canada,110,646,87,1,2018-08-21,2018-08-19
Prince Rupert,595,1026,61,76,2018-08-21,2018-08-19
Thunder Bay,706,1673,126,167,2018-08-21,2018-08-19
USA/MEX,158,849,182,67,2018-08-21,2018-08-19
Vancouver,1336,3880,207,483,2018-08-21,2018-08-19
Eastern Canada,144,690,68,106,2018-08-22,2018-08-20
Prince Rupert,630,922,53,131,2018-08-22,2018-08-20
Thunder Bay,559,1772,186,165,2018-08-22,2018-08-20
USA/MEX,185,823,93,35,2018-08-22,2018-08-20
Vancouver,1501,3900,173,692,2018-08-22,2018-08-20
Eastern Canada,125,798,8,28,2018-08-23,2018-08-21
Prince Rupert,626,824,55,103,2018-08-23,2018-08-21
Thunder Bay,669,1469,129,25,2018-08-23,2018-08-21
USA/MEX,178,783,79,49,2018-08-23,2018-08-21
Vancouver,1469,4011,118,695,2018-08-23,2018-08-21
Eastern Canada,116,812,7,70,2018-08-24,2018-08-22
Prince Rupert,524,944,75,196,2018-08-24,2018-08-22
Thunder Bay,732,1254,174,112,2018-08-24,2018-08-22
USA/MEX,174,794,120,42,2018-08-24,2018-08-22
Vancouver,1677,4018,63,777,2018-08-24,2018-08-22
Eastern Canada,97,789,19,0,2018-08-25,2018-08-23
Prince Rupert,309,1042,9,98,2018-08-25,2018-08-23
Thunder Bay,625,1423,35,323,2018-08-25,2018-08-23
USA/MEX,110,984,121,203,2018-08-25,2018-08-23
Vancouver,1383,4435,110,648,2018-08-25,2018-08-23
Eastern Canada,105,758,21,0,2018-08-26,2018-08-24
Prince Rupert,267,887,70,1,2018-08-26,2018-08-24
Thunder Bay,731,1385,24,92,2018-08-26,2018-08-24
USA/MEX,26,1028,128,53,2018-08-26,2018-08-24
Vancouver,869,4523,104,485,2018-08-26,2018-08-24
Eastern Canada,152,739,23,60,2018-08-27,2018-08-25
Prince Rupert,353,906,70,197,2018-08-27,2018-08-25
Thunder Bay,627,1502,79,384,2018-08-27,2018-08-25
USA/MEX,119,948,127,21,2018-08-27,2018-08-25
Vancouver,1293,4428,118,647,2018-08-27,2018-08-25
Eastern Canada,249,674,34,56,2018-08-28,2018-08-26
Prince Rupert,463,879,42,102,2018-08-28,2018-08-26
Thunder Bay,703,1241,103,19,2018-08-28,2018-08-26
USA/MEX,144,910,121,6,2018-08-28,2018-08-26
Vancouver,1388,4415,99,564,2018-08-28,2018-08-26
Eastern Canada,223,648,10,2,2018-08-29,2018-08-27
Prince Rupert,422,765,18,4,2018-08-29,2018-08-27
Thunder Bay,985,986,34,124,2018-08-29,2018-08-27
USA/MEX,183,848,110,36,2018-08-29,2018-08-27
Vancouver,1510,4598,143,883,2018-08-29,2018-08-27
Eastern Canada,232,592,5,41,2018-08-30,2018-08-28
Prince Rupert,400,907,7,302,2018-08-30,2018-08-28
Thunder Bay,1000,1091,21,371,2018-08-30,2018-08-28
USA/MEX,255,953,90,239,2018-08-30,2018-08-28
Vancouver,1629,4505,123,602,2018-08-30,2018-08-28
Eastern Canada,252,546,7,36,2018-08-31,2018-08-29
Prince Rupert,326,883,8,101,2018-08-31,2018-08-29
Thunder Bay,919,980,21,203,2018-08-31,2018-08-29
USA/MEX,248,881,112,9,2018-08-31,2018-08-29
Vancouver,1594,4613,240,644,2018-08-31,2018-08-29
Eastern Canada,93,537,12,0,2018-09-01,2018-08-30
Prince Rupert,298,1233,6,352,2018-09-01,2018-08-30
Thunder Bay,845,1470,29,536,2018-09-01,2018-08-30
USA/MEX,126,921,168,51,2018-09-01,2018-08-30
Vancouver,1465,4725,154,722,2018-09-01,2018-08-30
Eastern Canada,11,635,71,98,2018-09-02,2018-08-31
Prince Rupert,137,1236,7,3,2018-09-02,2018-08-31
Thunder Bay,630,1556,27,215,2018-09-02,2018-08-31
USA/MEX,45,916,144,0,2018-09-02,2018-08-31
Vancouver,1487,4451,223,417,2018-09-02,2018-08-31
Eastern Canada,32,614,46,0,2018-09-03,2018-09-01
Prince Rupert,16,1342,5,107,2018-09-03,2018-09-01
Thunder Bay,358,1595,98,89,2018-09-03,2018-09-01
USA/MEX,42,912,203,0,2018-09-03,2018-09-01
Vancouver,953,4889,125,488,2018-09-03,2018-09-01
Eastern Canada,116,525,65,7,2018-09-04,2018-09-02
Prince Rupert,253,1291,6,200,2018-09-04,2018-09-02
Thunder Bay,586,1528,89,254,2018-09-04,2018-09-02
USA/MEX,107,912,183,87,2018-09-04,2018-09-02
Vancouver,1311,4783,227,774,2018-09-04,2018-09-02
Eastern Canada,226,515,59,104,2018-09-05,2018-09-03
Prince Rupert,593,1036,6,88,2018-09-05,2018-09-03
Thunder Bay,840,1526,91,259,2018-09-05,2018-09-03
USA/MEX,141,892,182,17,2018-09-05,2018-09-03
Vancouver,1889,4723,285,786,2018-09-05,2018-09-03
Eastern Canada,276,466,54,53,2018-09-06,2018-09-04
Prince Rupert,882,755,6,0,2018-09-06,2018-09-04
Thunder Bay,724,1760,98,505,2018-09-06,2018-09-04
USA/MEX,139,1030,135,190,2018-09-06,2018-09-04
Vancouver,1850,4938,193,992,2018-09-06,2018-09-04
Eastern Canada,173,446,30,2,2018-09-07,2018-09-05
Prince Rupert,672,764,5,221,2018-09-07,2018-09-05
Thunder Bay,821,1838,49,379,2018-09-07,2018-09-05
USA/MEX,190,1062,126,110,2018-09-07,2018-09-05
Vancouver,1829,5301,142,1150,2018-09-07,2018-09-05
Eastern Canada,23,468,34,23,2018-09-08,2018-09-06
Prince Rupert,372,1023,5,259,2018-09-08,2018-09-06
Thunder Bay,756,1790,71,177,2018-09-08,2018-09-06
USA/MEX,174,1001,165,0,2018-09-08,2018-09-06
Vancouver,1493,5266,354,349,2018-09-08,2018-09-06
Eastern Canada,13,620,36,156,2018-09-09,2018-09-07
Prince Rupert,213,1299,7,276,2018-09-09,2018-09-07
Thunder Bay,649,2053,123,338,2018-09-09,2018-09-07
USA/MEX,140,1078,125,124,2018-09-09,2018-09-07
Vancouver,1310,5223,430,644,2018-09-09,2018-09-07
Eastern Canada,97,646,39,117,2018-09-10,2018-09-08
Prince Rupert,222,1100,12,5,2018-09-10,2018-09-08
Thunder Bay,840,1696,226,29,2018-09-10,2018-09-08
USA/MEX,175,1079,140,85,2018-09-10,2018-09-08
Vancouver,1663,5014,404,693,2018-09-10,2018-09-08
Eastern Canada,156,676,28,101,2018-09-11,2018-09-09
Prince Rupert,474,1053,32,199,2018-09-11,2018-09-09
Thunder Bay,856,1845,198,455,2018-09-11,2018-09-09
USA/MEX,254,947,145,23,2018-09-11,2018-09-09
Vancouver,1755,4856,311,552,2018-09-11,2018-09-09
Eastern Canada,196,620,49,3,2018-09-12,2018-09-10
Prince Rupert,653,1170,6,311,2018-09-12,2018-09-10
Thunder Bay,987,1691,270,154,2018-09-12,2018-09-10
USA/MEX,227,1014,191,95,2018-09-12,2018-09-10
Vancouver,1606,4853,284,657,2018-09-12,2018-09-10
Eastern Canada,120,600,65,0,2018-09-13,2018-09-11
Prince Rupert,711,1330,43,317,2018-09-13,2018-09-11
Thunder Bay,1126,1690,258,399,2018-09-13,2018-09-11
USA/MEX,232,932,217,15,2018-09-13,2018-09-11
Vancouver,1561,4943,147,683,2018-09-13,2018-09-11
Western Canada,0,1,0,1,2018-09-13,2018-09-11
Eastern Canada,114,537,87,2,2018-09-14,2018-09-12
Prince Rupert,573,1306,50,210,2018-09-14,2018-09-12
Thunder Bay,875,1804,223,328,2018-09-14,2018-09-12
USA/MEX,224,886,196,62,2018-09-14,2018-09-12
Vancouver,1457,4922,160,622,2018-09-14,2018-09-12
Western Canada,0,1,0,0,2018-09-14,2018-09-12
Eastern Canada,107,583,96,51,2018-09-15,2018-09-13
Prince Rupert,724,1425,68,363,2018-09-15,2018-09-13
Thunder Bay,798,1866,213,406,2018-09-15,2018-09-13
USA/MEX,177,903,189,53,2018-09-15,2018-09-13
Vancouver,1440,4837,284,433,2018-09-15,2018-09-13
Western Canada,0,1,0,0,2018-09-15,2018-09-13
Eastern Canada,97,548,32,8,2018-09-16,2018-09-14
Prince Rupert,752,1395,5,102,2018-09-16,2018-09-14
Thunder Bay,714,1930,180,239,2018-09-16,2018-09-14
USA/MEX,109,975,193,99,2018-09-16,2018-09-14
Vancouver,1360,4575,441,313,2018-09-16,2018-09-14
Western Canada,0,1,0,0,2018-09-16,2018-09-14
Eastern Canada,74,515,22,7,2018-09-17,2018-09-15
Prince Rupert,583,1488,5,250,2018-09-17,2018-09-15
Thunder Bay,964,1680,137,111,2018-09-17,2018-09-15
USA/MEX,175,863,204,11,2018-09-17,2018-09-15
Vancouver,1367,5020,351,1093,2018-09-17,2018-09-15
Western Canada,0,1,1,0,2018-09-17,2018-09-15
Eastern Canada,114,497,21,37,2018-09-18,2018-09-16
Prince Rupert,711,1682,3,407,2018-09-18,2018-09-16
Thunder Bay,885,1811,120,421,2018-09-18,2018-09-16
USA/MEX,266,988,215,212,2018-09-18,2018-09-16
Vancouver,1617,5191,315,973,2018-09-18,2018-09-16
Western Canada,0,1,1,0,2018-09-18,2018-09-16
Eastern Canada,95,494,18,28,2018-09-19,2018-09-17
Prince Rupert,638,1470,2,11,2018-09-19,2018-09-17
Thunder Bay,881,1600,123,138,2018-09-19,2018-09-17
USA/MEX,281,961,235,116,2018-09-19,2018-09-17
Vancouver,1727,4747,315,313,2018-09-19,2018-09-17
Western Canada,0,1,1,0,2018-09-19,2018-09-17
Eastern Canada,140,551,73,107,2018-09-20,2018-09-18
Prince Rupert,492,1621,2,347,2018-09-20,2018-09-18
Thunder Bay,982,1375,124,112,2018-09-20,2018-09-18
USA/MEX,248,1046,196,116,2018-09-20,2018-09-18
Vancouver,1709,5053,199,997,2018-09-20,2018-09-18
Western Canada,0,1,1,0,2018-09-20,2018-09-18
Eastern Canada,184,475,30,21,2018-09-21,2018-09-19
Prince Rupert,734,1439,46,58,2018-09-21,2018-09-19
Thunder Bay,962,1444,38,445,2018-09-21,2018-09-19
USA/MEX,190,1297,197,296,2018-09-21,2018-09-19
Vancouver,1502,5405,279,835,2018-09-21,2018-09-19
Western Canada,0,1,1,0,2018-09-21,2018-09-19
Eastern Canada,155,503,35,49,2018-09-22,2018-09-20
Prince Rupert,639,1445,102,204,2018-09-22,2018-09-20
Thunder Bay,1108,1345,14,215,2018-09-22,2018-09-20
USA/MEX,207,1161,209,2,2018-09-22,2018-09-20
Vancouver,1328,5414,197,570,2018-09-22,2018-09-20
Western Canada,0,1,0,0,2018-09-22,2018-09-20
Eastern Canada,112,554,37,58,2018-09-23,2018-09-21
Prince Rupert,485,1500,102,204,2018-09-23,2018-09-21
Thunder Bay,747,1446,15,211,2018-09-23,2018-09-21
USA/MEX,161,1119,207,0,2018-09-23,2018-09-21
Vancouver,1390,5780,239,1097,2018-09-23,2018-09-21
Western Canada,0,1,0,0,2018-09-23,2018-09-21
Eastern Canada,103,509,61,6,2018-09-24,2018-09-22
Prince Rupert,590,1548,30,248,2018-09-24,2018-09-22
Thunder Bay,771,1453,18,279,2018-09-24,2018-09-22
USA/MEX,150,1124,262,112,2018-09-24,2018-09-22
Vancouver,1509,6160,365,927,2018-09-24,2018-09-22
Western Canada,0,1,0,0,2018-09-24,2018-09-22
Eastern Canada,73,549,58,70,2018-09-25,2018-09-23
Prince Rupert,631,1625,39,294,2018-09-25,2018-09-23
Thunder Bay,628,1608,47,270,2018-09-25,2018-09-23
USA/MEX,289,1008,294,35,2018-09-25,2018-09-23
Vancouver,1781,5734,356,406,2018-09-25,2018-09-23
Western Canada,0,1,0,0,2018-09-25,2018-09-23
Eastern Canada,140,472,41,8,2018-09-26,2018-09-24
Prince Rupert,671,1643,12,213,2018-09-26,2018-09-24
Thunder Bay,736,1654,24,373,2018-09-26,2018-09-24
USA/MEX,372,907,220,30,2018-09-26,2018-09-24
Vancouver,1626,5896,347,757,2018-09-26,2018-09-24
Western Canada,0,1,1,0,2018-09-26,2018-09-24
Eastern Canada,215,387,146,16,2018-09-27,2018-09-25
Prince Rupert,539,1793,15,256,2018-09-27,2018-09-25
Thunder Bay,735,1715,16,282,2018-09-27,2018-09-25
USA/MEX,380,825,325,62,2018-09-27,2018-09-25
Vancouver,1840,5393,161,503,2018-09-27,2018-09-25
Western Canada,0,1,0,0,2018-09-27,2018-09-25
Eastern Canada,238,355,72,19,2018-09-28,2018-09-26
Prince Rupert,502,1721,13,205,2018-09-28,2018-09-26
Thunder Bay,766,1943,18,458,2018-09-28,2018-09-26
USA/MEX,296,821,286,59,2018-09-28,2018-09-26
Vancouver,1713,6072,199,1219,2018-09-28,2018-09-26
Western Canada,0,1,0,0,2018-09-28,2018-09-26
Eastern Canada,176,362,25,13,2018-09-29,2018-09-27
Prince Rupert,491,1636,16,0,2018-09-29,2018-09-27
Thunder Bay,531,2356,41,518,2018-09-29,2018-09-27
USA/MEX,132,822,286,3,2018-09-29,2018-09-27
Vancouver,1562,6220,199,791,2018-09-29,2018-09-27
Western Canada,0,1,0,0,2018-09-29,2018-09-27
Eastern Canada,95,346,30,0,2018-09-30,2018-09-28
Prince Rupert,628,1742,135,354,2018-09-30,2018-09-28
Thunder Bay,630,2268,77,170,2018-09-30,2018-09-28
USA/MEX,18,892,299,75,2018-09-30,2018-09-28
Vancouver,1690,5975,499,497,2018-09-30,2018-09-28
Western Canada,0,1,0,0,2018-09-30,2018-09-28
Eastern Canada,66,303,53,1,2018-10-01,2018-09-29
Prince Rupert,764,1882,134,471,2018-10-01,2018-09-29
Thunder Bay,715,2148,77,231,2018-10-01,2018-09-29
USA/MEX,77,971,333,145,2018-10-01,2018-09-29
Vancouver,1641,6154,679,835,2018-10-01,2018-09-29
Western Canada,0,1,0,0,2018-10-01,2018-09-29
Eastern Canada,106,273,67,2,2018-10-02,2018-09-30
Prince Rupert,812,1818,126,69,2018-10-02,2018-09-30
Thunder Bay,943,1890,170,121,2018-10-02,2018-09-30
USA/MEX,126,967,349,46,2018-10-02,2018-09-30
Vancouver,1640,6184,698,711,2018-10-02,2018-09-30
Western Canada,0,1,0,0,2018-10-02,2018-09-30
Eastern Canada,95,301,43,49,2018-10-03,2018-10-01
Prince Rupert,830,1640,28,97,2018-10-03,2018-10-01
Thunder Bay,1024,1772,243,207,2018-10-03,2018-10-01
USA/MEX,92,1069,248,130,2018-10-03,2018-10-01
Vancouver,1717,6148,618,748,2018-10-03,2018-10-01
Western Canada,0,1,1,0,2018-10-03,2018-10-01
Eastern Canada,78,337,30,54,2018-10-04,2018-10-02
Prince Rupert,629,1709,27,123,2018-10-04,2018-10-02
Thunder Bay,961,1710,247,226,2018-10-04,2018-10-02
USA/MEX,139,959,153,49,2018-10-04,2018-10-02
Vancouver,1702,6479,448,1002,2018-10-04,2018-10-02
Western Canada,0,1,1,0,2018-10-04,2018-10-02
Eastern Canada,21,336,9,2,2018-10-05,2018-10-03
Prince Rupert,608,1828,31,325,2018-10-05,2018-10-03
Thunder Bay,1051,1603,114,360,2018-10-05,2018-10-03
USA/MEX,149,1144,255,238,2018-10-05,2018-10-03
Vancouver,1655,6775,222,1042,2018-10-05,2018-10-03
Western Canada,0,1,1,0,2018-10-05,2018-10-03
Eastern Canada,34,352,10,16,2018-10-06,2018-10-04
Prince Rupert,562,1844,38,253,2018-10-06,2018-10-04
Thunder Bay,962,1574,103,199,2018-10-06,2018-10-04
USA/MEX,95,1143,257,22,2018-10-06,2018-10-04
Vancouver,1460,6860,324,632,2018-10-06,2018-10-04
Western Canada,0,1,1,0,2018-10-06,2018-10-04
Eastern Canada,36,376,13,41,2018-10-07,2018-10-05
Prince Rupert,661,1637,41,2,2018-10-07,2018-10-05
Thunder Bay,655,1640,119,67,2018-10-07,2018-10-05
USA/MEX,84,1161,180,26,2018-10-07,2018-10-05
Vancouver,1519,6568,539,457,2018-10-07,2018-10-05
Western Canada,0,1,1,0,2018-10-07,2018-10-05
Eastern Canada,53,351,16,1,2018-10-08,2018-10-06
Prince Rupert,749,1373,51,0,2018-10-08,2018-10-06
Thunder Bay,695,1646,273,372,2018-10-08,2018-10-06
USA/MEX,104,1151,197,50,2018-10-08,2018-10-06
Vancouver,1497,6854,889,844,2018-10-08,2018-10-06
Western Canada,0,1,1,0,2018-10-08,2018-10-06
Eastern Canada,66,419,34,92,2018-10-09,2018-10-07
Prince Rupert,801,1249,208,109,2018-10-09,2018-10-07
Thunder Bay,787,1551,320,280,2018-10-09,2018-10-07
USA/MEX,250,1105,125,183,2018-10-09,2018-10-07
Vancouver,1808,6665,634,801,2018-10-09,2018-10-07
Western Canada,0,1,1,0,2018-10-09,2018-10-07
Eastern Canada,48,410,27,12,2018-10-10,2018-10-08
Prince Rupert,779,1229,194,123,2018-10-10,2018-10-08
Thunder Bay,917,1523,337,266,2018-10-10,2018-10-08
USA/MEX,244,1169,145,102,2018-10-10,2018-10-08
Vancouver,2224,6666,306,1025,2018-10-10,2018-10-08
Eastern Canada,78,380,27,3,2018-10-11,2018-10-09
Prince Rupert,611,1245,103,108,2018-10-11,2018-10-09
Thunder Bay,697,1652,147,291,2018-10-11,2018-10-09
USA/MEX,172,1117,139,52,2018-10-11,2018-10-09
Vancouver,2320,6557,248,830,2018-10-11,2018-10-09
Eastern Canada,77,364,8,8,2018-10-12,2018-10-10
Prince Rupert,471,1307,89,180,2018-10-12,2018-10-10
Thunder Bay,656,1968,164,539,2018-10-12,2018-10-10
USA/MEX,243,1102,118,105,2018-10-12,2018-10-10
Vancouver,2179,6613,188,946,2018-10-12,2018-10-10
Eastern Canada,43,354,9,1,2018-10-13,2018-10-11
Prince Rupert,585,1297,89,197,2018-10-13,2018-10-11
Thunder Bay,428,2015,190,113,2018-10-13,2018-10-11
USA/MEX,213,1077,132,26,2018-10-13,2018-10-11
Vancouver,1851,7050,492,1014,2018-10-13,2018-10-11
Eastern Canada,36,329,14,0,2018-10-14,2018-10-12
Prince Rupert,468,1343,48,212,2018-10-14,2018-10-12
Thunder Bay,503,1950,196,55,2018-10-14,2018-10-12
USA/MEX,105,1075,189,5,2018-10-14,2018-10-12
Vancouver,1674,7149,182,822,2018-10-14,2018-10-12
Eastern Canada,57,311,16,6,2018-10-15,2018-10-13
Prince Rupert,598,1325,46,204,2018-10-15,2018-10-13
Thunder Bay,621,2015,227,446,2018-10-15,2018-10-13
USA/MEX,168,1013,158,55,2018-10-15,2018-10-13
Vancouver,1844,7136,124,950,2018-10-15,2018-10-13
Eastern Canada,82,328,30,49,2018-10-16,2018-10-14
Prince Rupert,586,1155,49,0,2018-10-16,2018-10-14
Thunder Bay,735,1846,426,115,2018-10-16,2018-10-14
USA/MEX,263,927,233,55,2018-10-16,2018-10-14
Vancouver,2519,6822,369,831,2018-10-16,2018-10-14
Eastern Canada,84,405,22,102,2018-10-17,2018-10-15
Prince Rupert,617,1179,47,255,2018-10-17,2018-10-15
Thunder Bay,1011,1554,197,49,2018-10-17,2018-10-15
USA/MEX,225,1011,86,133,2018-10-17,2018-10-15
Vancouver,2519,6545,273,713,2018-10-17,2018-10-15
Eastern Canada,79,418,27,39,2018-10-18,2018-10-16
Prince Rupert,511,1176,46,177,2018-10-18,2018-10-16
Thunder Bay,807,1514,102,117,2018-10-18,2018-10-16
USA/MEX,145,1088,101,147,2018-10-18,2018-10-16
Vancouver,2521,6457,265,848,2018-10-18,2018-10-16
Eastern Canada,108,457,77,94,2018-10-19,2018-10-17
Prince Rupert,522,1172,44,188,2018-10-19,2018-10-17
Thunder Bay,947,1645,99,583,2018-10-19,2018-10-17
USA/MEX,140,1059,122,13,2018-10-19,2018-10-17
Vancouver,2316,6354,356,781,2018-10-19,2018-10-17
Eastern Canada,100,480,47,24,2018-10-20,2018-10-18
Prince Rupert,545,1711,43,685,2018-10-20,2018-10-18
Thunder Bay,833,1443,110,0,2018-10-20,2018-10-18
USA/MEX,114,1023,192,21,2018-10-20,2018-10-18
Vancouver,2020,6973,198,1456,2018-10-20,2018-10-18
Eastern Canada,74,469,23,1,2018-10-21,2018-10-19
Prince Rupert,598,1588,44,108,2018-10-21,2018-10-19
Thunder Bay,639,1390,129,0,2018-10-21,2018-10-19
USA/MEX,104,985,213,7,2018-10-21,2018-10-19
Vancouver,2137,6516,339,468,2018-10-21,2018-10-19
Eastern Canada,107,503,18,106,2018-10-22,2018-10-20
Prince Rupert,487,1544,144,22,2018-10-22,2018-10-20
Thunder Bay,657,1457,217,469,2018-10-22,2018-10-20
USA/MEX,224,920,182,100,2018-10-22,2018-10-20
Vancouver,2183,6782,627,1194,2018-10-22,2018-10-20
Eastern Canada,125,496,28,33,2018-10-23,2018-10-21
Prince Rupert,419,1380,75,0,2018-10-23,2018-10-21
Thunder Bay,738,1258,331,64,2018-10-23,2018-10-21
USA/MEX,324,934,173,111,2018-10-23,2018-10-21
Vancouver,2131,6939,736,937,2018-10-23,2018-10-21
Eastern Canada,98,466,24,1,2018-10-24,2018-10-22
Prince Rupert,470,1374,38,200,2018-10-24,2018-10-22
Thunder Bay,907,1320,96,263,2018-10-24,2018-10-22
